,history_id,station_name,province,lon,lat,elevation (m),Tmean,Tmin (degC),Tmax (degC),HDD (degC-day),rlon,rlat
710,5562,OMPAH-SEITZ,ON,-76.7839,45.0536,276,6,-23,26,4494,14.130672257107062,-0.6072636239021553
711,5570,OTTAWA CDA,ON,-75.7167,45.3833,79,7,-23,27,4364,14.770203286375427,-0.0926557441963778
712,5595,PETAWAWA A,ON,-77.3167,45.95,130,5,-24,26,5024,13.543748046258958,0.16636607784747412
713,5596,PETAWAWA NAT FORESTRY,ON,-77.4333,45.9833,183,4,-27,24,5131,13.45697987749162,0.17855996765314416
714,5601,RENFREW,ON,-76.7,45.4833,130,5,-27,26,4925,14.078064634363093,-0.1767276458478402
715,5619,RUSSELL,ON,-75.3595,45.2628,76,7,-24,27,4454,15.044549154525475,-0.14093876294364713
716,5620,ST. ALBERT,ON,-75.0636,45.2872,80,6,-25,25,4584,15.238149298815271,-0.0604863936540115
717,5628,SOUTH MOUNTAIN,ON,-75.4833,44.9667,85,6,-24,27,4468,15.040747769215615,-0.4496347539430733
718,5642,PETAWAWA HOFFMAN,ON,-77.25,45.8833,153,6,-25,25,4675,13.605283933039043,0.11330453220638075
719,5646,ALLISTON NELSON,ON,-79.8722,44.1514,221,8,-19,27,4022,12.2065379573681,-2.0028898354841
720,5657,BARRIE WPCC,ON,-79.6897,44.3758,221,7,-20,27,4204,12.285118537724797,-1.7553657751343468
721,5659,BEATRICE 2,ON,-79.4,45.1333,297,5,-26,25,4996,12.318182553301423,-0.9711249001282717
722,5681,CHATSWORTH,ON,-80.9056,44.395,305,7,-20,26,4438,11.431423879128285,-1.9208176300440867
723,5685,COLLINGWOOD,ON,-80.2167,44.5,180,8,-17,28,3854,11.8907013659687,-1.7154697341383163
724,5690,COOKSTOWN,ON,-79.6947,44.2067,244,6,-21,26,4394,12.318754222071837,-1.9211289341184725
725,5693,DORSET MOE,ON,-78.9333,45.2167,323,5,-26,25,4888,12.61988479689368,-0.8155861240598921
726,5694,DUNCHURCH,ON,-79.8833,45.6167,268,5,-26,24,4899,11.880619147076752,-0.5742533922365206
727,5698,ESSA ONT HYDRO,ON,-79.8167,44.35,216,7,-22,27,4299,12.202123436529773,-1.800398130737639
728,5705,HANOVER,ON,-81.0058,44.1164,270,7,-19,26,4307,11.417963386519043,-2.20819786821322
729,5721,LAGOON CITY,ON,-79.2167,44.5472,221,7,-22,24,4289,12.576260729874983,-1.5131887286064079
730,5729,MIDHURST,ON,-79.7667,44.45,226,7,-22,27,4349,12.21516992426389,-1.6950125327746375
731,5733,MOONSTONE,ON,-79.6667,44.6333,201,6,-23,25,4447,12.24455704668356,-1.5005493345131968
732,5735,MUSKOKA A,ON,-79.3,44.9667,282,5,-25,24,4702,12.424309244301325,-1.1177117079756498
733,5741,ORILLIA BRAIN,ON,-79.4389,44.6028,250,7,-21,24,4252,12.409492803530176,-1.4944380699423212
734,5743,ORILLIA TS,ON,-79.4167,44.6167,220,7,-22,26,4259,12.421809471502018,-1.4773679676374207
