,ilocy,ilocx,Q10_Gumbel-MM,rlat,rlon,lat,lon,station_name,ratio,model_vals,best_tol
0,558,1009,0.275,-4.286303317504344,10.373533646905495,42.27611111,-82.95527778,WINDSOR A,0.8908998629457551,0.30002129707179087,0.971959754334786
1,576,1016,0.298,-3.48804380801358,10.70911725486623,42.99944444,-82.30888889,SARNIA,0.9173601508345591,0.31573641663883645,0.971959754334786
2,579,1050,0.287,-3.3353689590638744,12.206823049227507,42.85,-80.26666667,SIMCOE,0.6890591992913058,0.40483089084506074,0.971959754334786
3,580,1035,0.27,-3.2904168437142984,11.534369212852347,43.03305556,-81.15111111,LONDON A,0.7164950082473568,0.3662679162445656,0.971959754334786
4,587,1054,0.34,-2.9672462089752716,12.374482460573976,43.17361111,-79.935,HAMILTON A,0.9301900063061269,0.35526754129098903,0.971959754334786
5,591,1056,0.19,-2.8224940050071763,12.44308227059991,43.3,-79.8,BURLINGTON PIERS (AUT),0.5631061746250356,0.32795298941017653,0.971959754334786
6,591,1066,0.29,-2.8263537576593833,12.914368822069164,43.19166667,-79.17111111,ST CATHARINES A,0.831180555990836,0.33911804929204287,0.971959754334786
7,592,1046,0.218,-2.755708330772456,11.997290400172446,43.46083333,-80.37861111,KITCHENER-WATERLOO,0.6062942501521199,0.34947919494836144,0.971959754334786
8,592,1065,0.32,-2.7770194854473744,12.868806527061649,43.25,-79.21666667,PORT WELLER (AUT),0.8923704946838511,0.34854034645926096,0.971959754334786
9,595,1023,0.207,-2.65276038889117,10.985517938364806,43.76666667,-81.71666667,GODERICH,0.6058746234330992,0.33207475831757916,0.971959754334786
10,599,1060,0.315,-2.4383661704221993,12.656933578522423,43.6275,-79.39611111,TORONTO CITY CENTRE,0.9775681185781099,0.3131928269722865,0.971959754334786
11,600,1057,0.287,-2.4280374478097446,12.48046411804727,43.67666667,-79.63055556,TORONTO INTL A,0.961147479520525,0.2902285605880597,0.971959754334786
12,603,1037,0.245,-2.3007719587955977,11.625339745869262,43.98333333,-80.75,MOUNT FOREST (AUT),0.7630066705740463,0.3120944403184129,0.971959754334786
13,605,1060,0.20600000000000002,-2.2064892992981635,12.624161363112355,43.86083333,-79.36861111,TORONTO BUTTONVILLE A,0.7263541141317761,0.27565577931956353,0.971959754334786
14,611,1078,0.26899999999999996,-1.9198477837726322,13.446705882854868,43.95,-78.16666667,COBOURG (AUT),0.8133316556862136,0.3214644014998582,0.971959754334786
15,613,1095,0.465,-1.8539753644643515,14.186065075654536,43.83333333,-77.15,POINT PETRE (AUT),1.1592278264774964,0.38988132914220486,0.971959754334786
16,616,1043,0.21,-1.7154646708868815,11.890724603560995,44.5,-80.21666667,COLLINGWOOD,0.889565373801046,0.22945086940395593,0.971959754334786
17,617,1074,0.19,-1.681286926386074,13.24303297256795,44.23,-78.36333333,PETERBOROUGH,0.7575472575739516,0.24377667726634422,0.971959754334786
18,617,1087,0.303,-1.6479580998039793,13.848365534890087,44.11666667,-77.53333333,TRENTON A,1.10755311267126,0.26590490532155064,0.971959754334786
19,618,1028,0.255,-1.608330023712921,11.218755263733659,44.74416667,-81.10861111,WIARTON A,0.8421724897259588,0.29429806883862974,0.971959754334786
20,620,1059,0.265,-1.5131617290709791,12.576278873912775,44.54722222,-79.21666667,LAGOON CITY,1.5057551491441967,0.1710565858234714,0.971959754334786
21,623,1101,0.278,-1.376287929563316,14.47009238904273,44.22333333,-76.59944444,KINGSTON CLIMATE,1.3747213747495648,0.1965524190342164,0.971959754334786
22,629,1055,0.141,-1.1104223325675606,12.42021185602272,44.97472222,-79.30333333,MUSKOKA,1.2538590569564583,0.10929962550484962,0.971959754334786
23,637,1077,0.067,-0.7819711108327801,13.376973995423196,45.07138889,-77.87888889,BANCROFT AUTO,0.8749225665529724,0.07443093369621971,0.971959754334786
24,639,1000,0.27399999999999997,-0.690069370908283,9.992653603870442,45.88166667,-82.56722222,GORE BAY-MANITOULIN,0.9375980400994638,0.28404173355511647,0.971959754334786
25,647,968,0.284,-0.3265597809046357,8.564149867880838,46.485,-84.50972222,SAULT STE MARIE A,1.5574128306322985,0.17724046238851796,0.971959754334786
26,651,1109,0.221,-0.14743254423379257,14.821932295193472,45.31666667,-75.66666667,OTTAWA INTL A,1.6788466813577403,0.12794682688610323,0.971959754334786
27,653,1132,0.18,-0.06744339856063078,15.80836957099062,45.12083333,-74.28944444,ST-ANICET 1,1.2116373195807209,0.14439366710890247,0.971959754334786
28,657,1141,0.151,0.10111418445683244,16.207357598047103,45.16722222,-73.67888889,STE-CLOTHILDE,1.071470938463126,0.13697611165737048,0.971959754334786
29,658,1081,0.155,0.16637183265387717,13.543770494311032,45.95,-77.31666667,PETAWAWA A,1.7809262560415906,0.0845929254009345,0.971959754334786
30,658,1154,0.102,0.146891087188546,16.805817882306044,45.03333333,-72.85,FRELIGHSBURG,0.9420086208964501,0.10524308667982571,0.971959754334786
31,660,1046,0.17800000000000002,0.2247776229261326,12.027567413504922,46.36388889,-79.42416667,NORTH BAY A,2.242712299899981,0.0771426795489139,0.971959754334786
32,661,1024,0.252,0.27781895532178186,11.047848727345684,46.62555556,-80.79777778,SUDBURY A,1.71701353971451,0.14265109297454434,0.971959754334786
33,661,1135,0.146,0.298783997656161,15.963386826741665,45.42722222,-73.92916667,STE-ANNE-DE-BELLEVUE 1,0.8350256594493263,0.1699422317470597,0.971959754334786
34,661,1145,0.20199999999999999,0.29036027254180596,16.391913068259413,45.29388889,-73.34944444,L'ACADIE,1.2866890325097091,0.1525899929314469,0.971959754334786
