,ilocy,ilocx,SL50 (kPa),rlat,rlon,lat,lon,station_name,ratio,model_vals,best_tol
0,558,1009,1.0,-4.286848910227873,10.373390404111557,42.2756,-82.9556,WINDSOR A,1.1580262332436724,0.614798761286248,0.7119530937351894
1,559,1009,1.2,-4.227125340313413,10.379271031382924,42.3333,-82.9333,WINDSOR RIVERSIDE,1.372226011524486,0.6225969376087594,0.7119530937351894
2,576,1017,1.5,-3.4945859613826147,10.7134921602455,42.9922,-82.3047,SARNIA AIRPORT,1.4448814215507058,0.739112306847048,0.7119530937351894
3,577,1048,1.4,-3.434479081735439,12.106219211616422,42.774390000000004,-80.42905999999999,HAGERSVILLE 2 composite,1.1899812084666783,0.8376051017760047,0.7119530937351894
4,579,1046,1.5,-3.3628448895127754,11.999925006386508,42.8667,-80.55,DELHI CDA,1.3391778486797852,0.7974516914654701,0.7119530937351894
5,579,1050,1.6,-3.335374154899144,12.206799132067156,42.85,-80.2667,SIMCOE,1.370867798064601,0.8309517165583189,0.7119530937351894
6,580,1035,1.7,-3.290371679059054,11.534368202439223,43.0331,-81.1511,LONDON INT'L AIRPORT,1.4453341878789465,0.8373982083174746,0.7119530937351894
7,580,1037,1.5,-3.3033197995587598,11.625518178228763,43.001999999999995,-81.0328,DORCHESTER,1.2817349767927542,0.8331906828937692,0.7119530937351894
8,580,1051,1.3,-3.2976268496041468,12.223659162002475,42.8833,-80.2333,WATERFORD,1.0791066009994854,0.8576900752886671,0.7119530937351894
9,587,1054,1.8,-2.9689855230488806,12.37546741076384,43.1717,-79.9342,HAMILTON A,1.517869932240994,0.8442854960775871,0.7119530937351894
10,590,1054,1.4,-2.851997203751697,12.387474338992014,43.2833,-79.8833,HAMILTON RBG,1.142556910733327,0.8723717145866559,0.7119530937351894
11,591,1066,1.0,-2.817509219258394,12.915619247015943,43.2,-79.1667,ST CATHARINES A,0.8668449038250569,0.8213154286235187,0.7119530937351894
12,592,1046,1.7,-2.767016061611644,11.996249233882299,43.45,-80.3833,WATERLOO WELLINGTON A,1.2059085094812172,1.003658444926724,0.7119530937351894
13,594,1044,2.2,-2.666314502571736,11.94129167027309,43.56001071,-80.42801786,GUELPH OAC composite,1.4862808676404695,1.053836351068675,0.7119530937351894
14,598,1059,1.8,-2.4868552600065392,12.60189887608841,43.59246944,-79.48505417,TORONTO NEW INT'L A composite,1.4461305547036338,0.8861686550741412,0.7119530937351894
15,599,1061,1.1,-2.4371144169958994,12.657472533066505,43.6286,-79.395,TORONTO ISLAND A,0.9010490982548335,0.8691517528018429,0.7119530937351894
16,600,1057,1.4,-2.4275243009702034,12.480315141272046,43.6772,-79.6306,TORONTO LESTER B. PEARSON INT'L A,1.106893346055819,0.9004791064838521,0.7119530937351894
17,600,1060,1.3,-2.4007826199030635,12.645432657636889,43.6667,-79.4,TORONTO,1.0609500474543092,0.8723681421915441,0.7119530937351894
18,602,1053,1.5,-2.327916851748337,12.32637283896129,43.8081,-79.8081,SANDHILL,1.0547639253923877,1.0124821440072467,0.7119530937351894
19,603,1037,2.3,-2.300804570575231,11.625346633334846,43.9833,-80.75,MOUNT FOREST,1.318281599494269,1.2421413726923936,0.7119530937351894
20,603,1059,1.6,-2.3012399580428746,12.57237144415825,43.78,-79.4678,TORONTO NORTH YORK,1.2706194178895474,0.8965115233862458,0.7119530937351894
21,605,1058,1.8,-2.2032653790882666,12.564815949223863,43.8772,-79.4478,RICHMOND HILL,1.3516816112995724,0.9480898149463095,0.7119530937351894
22,605,1060,1.5,-2.2053809803339703,12.62287891217746,43.8622,-79.37,TORONTO BUTTONVILLE A,1.1799065736197212,0.9050967801006364,0.7119530937351894
23,608,1038,2.6,-2.068590235243496,11.658569176059126,44.2036,-80.6378,PRICEVILLE,1.4262094567539478,1.2979005537689714,0.7119530937351894
24,609,1050,1.7,-2.0028898354841,12.2065379573681,44.1514,-79.8722,ALLISTON NELSON,1.0613152179028569,1.1403965937107705,0.7119530937351894
25,611,1027,3.1,-1.9374790458624405,11.156459894997607,44.43423333,-81.2871,WALKERTON composite,1.7949488779724216,1.2295918940444595,0.7119530937351894
26,611,1053,1.5,-1.9211289341184725,12.318754222071837,44.2067,-79.6947,COOKSTOWN,0.9723201439449112,1.0983312926851077,0.7119530937351894
27,616,1053,3.0,-1.7233069520001558,12.319592020167152,44.3995,-79.6328,SHANTY BAY,1.8004994929455027,1.1862593072500334,0.7119530937351894
28,616,1086,1.2,-1.7037724583668714,13.763648867181702,44.0833,-77.6667,SMITHFIELD CDA,0.7520342880365409,1.1360435635359158,0.7119530937351894
29,617,1071,2.8,-1.6437599584267275,13.111996013499192,44.29722,-78.52882667,HALIBURTON A composite,1.6233811650761236,1.2279732605897598,0.7119530937351894
30,617,1074,2.3,-1.6786484471005159,13.239909508912735,44.2333,-78.3667,PETERBOROUGH A,1.3521393306563745,1.21103800360281,0.7119530937351894
31,617,1087,1.4,-1.647919910661428,13.848380542642577,44.1167,-77.5333,TRENTON A,0.8534987726691784,1.1678216338989462,0.7119530937351894
32,618,1028,3.3,-1.6065279350677362,11.219407227076683,44.7458,-81.1072,WIARTON A,1.535712759979769,1.529872819027092,0.7119530937351894
33,619,1089,1.8,-1.5905322191931184,13.936456970299941,44.1506,-77.3947,BELLEVILLE,1.0407168256009829,1.2313777746250083,0.7119530937351894
34,623,1084,2.9,-1.39563263390509,13.715114449914411,44.39395238,-77.62724286,STIRLING composite,1.5207600138248982,1.357652721706672,0.7119530937351894
35,623,1102,2.0,-1.3803565049833204,14.473210899310928,44.2186,-76.5967,KINGSTON A,1.1199288442161877,1.2714255863879798,0.7119530937351894
36,627,1099,2.3,-1.1950455367128394,14.354715693013972,44.4281,-76.6903,HARTINGTON IHD,1.1786371438636907,1.3893097838602577,0.7119530937351894
37,629,1055,3.4,-1.1177117079756498,12.424309244301325,44.9667,-79.3,MUSKOKA A,1.3867299696822717,1.745574532620985,0.7119530937351894
38,633,1067,2.4,-0.929498972966488,12.938661086656456,45.0322,-78.5311,HALIBURTON 3,0.9439967701618283,1.8100564313070016,0.7119530937351894
39,637,1052,3.3,-0.7779930357615851,12.262381226920443,45.33400909,-79.41611818,BURKS FALLS composite,1.1771194584789944,1.995927594606194,0.7119530937351894
40,637,1111,2.0,-0.7598144491788071,14.912663873584123,44.7023375,-75.7747875,SOUTH MOUNTAIN composite,1.0349841055812112,1.3757758981919461,0.7119530937351894
41,639,1000,3.3,-0.6883970505338951,9.992710779507949,45.8833,-82.5667,GORE BAY A,1.4401980962794574,1.631334755542016,0.7119530937351894
42,640,1059,3.5,-0.6480473584073168,12.604555155685231,45.3833,-78.9,DWIGHT,1.2641655734338726,1.9711309028172241,0.7119530937351894
43,642,1043,3.0,-0.5742533922365206,11.880619147076752,45.6167,-79.8833,DUNCHURCH,1.0558215796935597,2.022935808742872,0.7119530937351894
44,647,968,3.7,-0.3282026503152139,8.56463998274487,46.4833,-84.5094,SAULT STE MARIE A,1.489942222956807,1.7680057697757898,0.7119530937351894
45,651,1109,3.1,-0.14229068458931268,14.818651720335906,45.3225,-75.6692,OTTAWA MACDONALD-CARTIER INT'L A,1.5108629898384918,1.460790690766088,0.7119530937351894
46,652,1108,2.1,-0.0926557441963778,14.770203286375427,45.3833,-75.7167,OTTAWA CDA,1.0083310358386348,1.4827486645795975,0.7119530937351894
47,652,1134,1.9,-0.11059958944123897,15.91164378309388,45.05,-74.1667,HUNTINGDON,0.8716780784018365,1.5518468476079663,0.7119530937351894
48,653,1111,3.2,-0.08342891017602053,14.878650645037006,45.36306667,-75.56446667,OTTAWA ROCKCLIFFE A composite,1.5629502739842784,1.4576598743252935,0.7119530937351894
49,653,1131,3.4,-0.06763698819223248,15.76386408140092,45.1333,-74.35,ST ANICET,1.588127474022828,1.5242104669142256,0.7119530937351894
50,654,1102,1.4,-0.010141822987990141,14.504972791199682,45.5333,-76.05,LUSKVILLE,0.6340060087887747,1.5721212692186597,0.7119530937351894
51,654,1135,1.6,-0.02306995179155099,15.971452536902286,45.1167,-74.05,ORMSTOWN,0.753289373128447,1.5122010088174516,0.7119530937351894
52,654,1141,3.1,-0.002819591108613995,16.211153361252567,45.0667,-73.7167,HEMMINGFORD FOUR WINDS,1.4323042406147748,1.5409118593629056,0.7119530937351894
53,655,1050,2.8,0.0108004267438218,12.200271604969695,46.1167,-79.25,POWASSAN,0.9945499810850091,2.0043926402610213,0.7119530937351894
54,656,1096,2.6,0.06457777123853113,14.206951891737853,45.6833,-76.4333,CHARTERIS,1.1292314355723285,1.6392370823198972,0.7119530937351894
55,656,1146,2.2,0.08212766041682308,16.43136179542141,45.0833,-73.3833,ST BERNARD DE LACOLLE,1.0383936237505889,1.5083844607597716,0.7119530937351894
56,657,1110,2.8,0.09932157620079315,14.83803900373631,45.55,-75.55,ANGERS,1.2476313803332535,1.5978025992950395,0.7119530937351894
57,657,1134,2.1,0.12639370122986404,15.889859305178064,45.2833,-74.1,VALLEYFIELD,1.0148140530484366,1.4732763035284233,0.7119530937351894
58,657,1141,1.7,0.09970703767826301,16.204535378802806,45.1667,-73.6833,STE CLOTHILDE CDA,0.8150684353270147,1.4849308437079003,0.7119530937351894
59,658,1081,2.9,0.16636607784747412,13.543748046258958,45.95,-77.3167,PETAWAWA A,1.1492271239233531,1.7965673876400348,0.7119530937351894
60,659,1081,2.1,0.19407473605052883,13.584505642712083,45.9667,-77.25,SHEENBORO,0.8138758892356214,1.8370141155650552,0.7119530937351894
61,659,1157,2.6,0.2143332821945056,16.907970562019244,45.0667,-72.6833,SUTTON,1.069118551322436,1.7314057841591275,0.7119530937351894
62,660,1046,3.3,0.2247059616752298,12.02855117692835,46.3636,-79.4228,NORTH BAY A,1.1470345543017586,2.048277622077669,0.7119530937351894
63,660,1148,2.3,0.2478536721012904,16.515278173256952,45.2167,-73.2,SABREVOIS,1.113912411792703,1.4700366907265145,0.7119530937351894
64,661,1024,3.3,0.27785930544065024,11.04782465123829,46.6256,-80.7978,SUDBURY A,1.1857743044633406,1.9813595221979785,0.7119530937351894
65,661,1128,2.3,0.2806495088143387,15.648523738310713,45.5,-74.3667,RIGAUD,1.0691077481667732,1.5316436705269285,0.7119530937351894
66,662,1146,1.9,0.34872560816845866,16.447024680651992,45.3333,-73.25,IBERVILLE,0.9435818794342098,1.433591411174589,0.7119530937351894
67,662,1158,2.5,0.35043721364910185,16.950859185149188,45.1833,-72.5667,BROME,0.9753362387082188,1.8248914207220825,0.7119530937351894
68,663,1118,2.8,0.361483120581601,15.211915468380836,45.7,-74.9333,MONTEBELLO (SEDBERGH),1.1027317329644095,1.8077548717126373,0.7119530937351894
69,663,1136,2.3,0.3845159255402604,15.995474941061378,45.5,-73.85,STE GENEVIEVE,1.1202415913345458,1.461731226779563,0.7119530937351894
70,663,1138,2.3,0.3730154780297401,16.072237754624673,45.4667,-73.75,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,1.1485794341671767,1.4256672781001558,0.7119530937351894
71,663,1139,4.1,0.378677196996154,16.15032437560446,45.44933929,-73.64116429,LAVALTRIE CDA composite,2.0736959896616978,1.4076353037604525,0.7119530937351894
72,663,1163,3.0,0.3750065977850023,17.189960041690064,45.1333,-72.2333,GEORGEVILLE,1.049563944610368,2.0349968119364736,0.7119530937351894
73,664,1128,2.3,0.43111426674639375,15.628350571746576,45.65,-74.3333,LACHUTE,0.9922205315318666,1.650330812105701,0.7119530937351894
74,664,1140,3.3,0.43899501354061177,16.174297228821235,45.5,-73.5833,MONTREAL MCGILL,1.685773402167461,1.3936898080758402,0.7119530937351894
