,ilocy,ilocx,mean RH (%),rlat,rlon,lat,lon,station_name,ratio,model_vals,best_tol
0,552,1011,75.0,-4.5177895001951045,10.457750487409273,42.0333,-82.9,HARROW CDA AUTO,1.0259605209130531,81.40203040215414,1.1135369268636566
1,558,1009,71.0,-4.286848910227873,10.373390404111557,42.2756,-82.9556,WINDSOR A,0.9648321186869728,81.94287925956782,1.1135369268636566
2,560,1026,76.0,-4.166609944802487,11.147744256566659,42.2501,-81.9001,ERIEAU (AUT),1.037465989283498,81.57260798504328,1.1135369268636566
3,565,1026,79.0,-3.96806270606981,11.12134986160888,42.45,-81.8833,RIDGETOWN RCS,1.072967920487107,81.98699657515616,1.1135369268636566
4,576,1017,75.0,-3.4904329491985364,10.714451499966426,42.9961,-82.30235,SARNIA AIRPORT COMPOSITE,1.0178325866808786,82.05206888405392,1.1135369268636566
5,579,1046,77.0,-3.3628448895127754,11.999925006386508,42.8667,-80.55,DELHI CS,1.0380402238397441,82.60021278495151,1.1135369268636566
6,580,1035,75.0,-3.2901926502243564,11.534742416339043,43.0332,-81.15055,LONDON CS COMPOSITE,1.0027620154751222,83.2852344084888,1.1135369268636566
7,587,1054,75.0,-2.9689855230488806,12.37546741076384,43.1717,-79.9342,HAMILTON A,1.0069625257239994,82.93781285924948,1.1135369268636566
8,590,1054,75.0,-2.847748537093577,12.367862378820393,43.2917,-79.9083,HAMILTON RBG CS,1.0080117478086081,82.85148431685872,1.1135369268636566
9,590,1063,72.0,-2.87199134716758,12.753426345960174,43.1833,-79.4,VINELAND STATION RCS,0.981023128445943,81.72555407657865,1.1135369268636566
10,591,1056,69.0,-2.8224940050071763,12.44308227059991,43.3,-79.8,BURLINGTON PIERS (AUT),0.9286257475497037,82.73951929109077,1.1135369268636566
11,591,1066,71.0,-2.817509219258394,12.915619247015943,43.2,-79.1667,ST CATHARINES A,0.9671833811138798,81.74367276272571,1.1135369268636566
12,592,1046,76.0,-2.767016061611644,11.996249233882299,43.45,-80.3833,WATERLOO WELLINGTON A,1.0138027205390587,83.47660222951374,1.1135369268636566
13,592,1065,76.0,-2.777024958427152,12.868782847614893,43.25,-79.2167,PORT WELLER (AUT),1.0384419377331573,81.49594442071205,1.1135369268636566
14,595,1023,79.0,-2.652732378466715,10.985487811987579,43.7667,-81.7167,GODERICH,1.0606714706865772,82.93747843079619,1.1135369268636566
15,596,1044,80.0,-2.5766172477994584,11.930342238677156,43.65,-80.4167,ELORA RCS,1.0622860600536883,83.85966595908285,1.1135369268636566
16,599,1061,72.0,-2.4371144169958994,12.657472533066505,43.6286,-79.395,TORONTO ISLAND A,0.9775194910798671,82.01847581127433,1.1135369268636566
17,600,1057,72.0,-2.4275243009702034,12.480315141272046,43.6772,-79.6306,TORONTO LESTER B. PEARSON INT'L A,0.9682638485710203,82.80249113142699,1.1135369268636566
18,600,1060,71.0,-2.4007826199030635,12.645432657636889,43.6667,-79.4,TORONTO CITY,0.9593052719521501,82.41497687845832,1.1135369268636566
19,603,1037,80.0,-2.300804570575231,11.625346633334846,43.9833,-80.75,MOUNT FOREST (AUT),1.0653298839642142,83.62006500522136,1.1135369268636566
20,605,1060,72.0,-2.2053809803339703,12.62287891217746,43.8622,-79.37,TORONTO BUTTONVILLE A,0.9677543953124996,82.84608070242234,1.1135369268636566
21,611,1051,78.0,-1.9090728517835933,12.250936972318437,44.2333,-79.7833,EGBERT CS,1.0493542771030784,82.77078789362321,1.1135369268636566
22,611,1078,75.0,-1.9198534980984727,13.446682564305245,43.95,-78.1667,COBOURG (AUT),1.0200212023421766,81.87601328580834,1.1135369268636566
23,613,1095,79.0,-1.8540076319615553,14.186073428531435,43.8333,-77.15,POINT PETRE (AUT),1.0820785339893804,81.29670302016379,1.1135369268636566
24,616,1043,75.0,-1.7154697341383163,11.8907013659687,44.5,-80.2167,COLLINGWOOD,1.0164080590950768,82.16706741692813,1.1135369268636566
25,617,1074,74.0,-1.6786484471005159,13.239909508912735,44.2333,-78.3667,PETERBOROUGH A,0.9985551336839611,82.52096434966647,1.1135369268636566
26,617,1087,74.0,-1.647919910661428,13.848380542642577,44.1167,-77.5333,TRENTON A,1.0160863689938686,81.09717353014487,1.1135369268636566
27,618,1028,76.0,-1.6065279350677362,11.219407227076683,44.7458,-81.1072,WIARTON A,1.0423398886170587,81.19118088622756,1.1135369268636566
28,618,1054,76.0,-1.628527286900477,12.358775206404447,44.4833,-79.55,BARRIE-ORO,1.0279765078869185,82.32562300046976,1.1135369268636566
29,620,1059,80.0,-1.5131887286064079,12.576260729874983,44.5472,-79.2167,LAGOON CITY,1.0890663799192788,81.79754309897558,1.1135369268636566
30,623,1102,74.0,-1.3803565049833204,14.473210899310928,44.2186,-76.5967,KINGSTON A,1.026226413231123,80.29586017813047,1.1135369268636566
31,627,1018,78.0,-1.2026810418927736,10.75774702274823,45.2333,-81.6333,TOBERMORY RCS,1.0665215569074968,81.43846669842655,1.1135369268636566
32,629,1016,76.0,-1.1183024600454283,10.66923702540505,45.3333,-81.7333,COVE ISLAND (AUT),1.0371673791674056,81.59609349608965,1.1135369268636566
33,629,1055,72.0,-1.1177117079756498,12.424309244301325,44.9667,-79.3,MUSKOKA A,1.0023319659724275,79.98812913883339,1.1135369268636566
34,631,1112,80.0,-1.049403624583132,14.937137653778311,44.4167,-75.85,GRENADIER ISLAND,1.1390438615806253,78.20853713699326,1.1135369268636566
35,633,1053,78.0,-0.9647414367555113,12.31469598686252,45.1403,-79.4028,BEATRICE CLIMATE,1.090200285087329,79.66965472624852,1.1135369268636566
