,HDD (degC-day),Location,lat,lon,rlat,rlon
0,5030.784,100 Mile House,51.64,-121.3,6.473,-14.894
1,2831.024,Abbotsford,49.05,-122.33,4.215,-16.33
2,2861.616,Agassiz,49.24,-121.76,4.279,-15.915
3,3190.957,Alberni,49.27,-124.8,4.957,-17.786
4,4501.09,Ashcroft,50.72,-121.28,5.593,-15.164
5,3090.402,Bamfield,48.83,-125.13,4.62,-18.142
6,6263.615,Beatton River,57.38,-121.41,11.953,-13.162
7,3149.214,Bella Bella,52.16,-128.14,8.419,-18.705
8,3591.044,Bella Coola,52.37,-126.75,8.292,-17.829
9,5533.334,Burns Lake,54.23,-125.75,9.806,-16.578
10,4599.01,Cache Creek,50.81,-121.32,5.686,-15.16
11,3059.414,Campbell River,50.02,-125.24,5.759,-17.792
12,3818.656,Carmi,49.5,-119.12,4.022,-14.191
13,3584.789,Castlegar,49.33,-117.67,3.604,-13.326
14,5487.968,Chetwynd,55.7,-121.63,10.395,-13.814
15,2770.378,Chilliwack,49.17,-121.95,4.251,-16.055
16,3015.101,Comox,49.67,-124.93,5.362,-17.726
17,3107.27,Courtenay,49.69,-125.0,5.396,-17.762
18,4384.226,Cranbrook,49.51,-115.77,3.47,-12.082
19,3588.661,Crescent Valley,49.45,-117.56,3.701,-13.226
20,2699.996,Crofton,48.86,-123.64,4.314,-17.207
21,5831.759,Dawson Creek,55.76,-120.24,10.214,-13.038
22,6724.698,Dease Lake ,58.44,-130.0,14.598,-17.132
23,4726.878,Dog Creek,51.58,-122.3,6.609,-15.506
24,2934.443,Duncan,48.78,-123.71,4.254,-17.278
25,4615.717,Elko,49.3,-115.12,3.167,-11.719
26,4823.09,Fernie,49.5,-115.06,3.353,-11.635
27,6433.267,Fort Nelson,58.8,-122.71,13.518,-13.364
28,5818.38,Fort St. John,56.25,-120.85,10.784,-13.219
29,5821.283,Glacier,51.27,-117.52,5.452,-12.727
30,3003.611,Gold River ,49.78,-126.78,5.892,-18.809
31,5178.589,Golden,51.3,-116.96,5.392,-12.379
32,3791.634,Grand Forks,49.03,-118.44,3.449,-13.892
33,3828.707,Greenwood,49.09,-118.68,3.549,-14.028
34,3170.909,Hope,49.38,-121.44,4.348,-15.673
35,2874.948,Jordan River ,48.42,-124.05,3.99,-17.611
36,3833.079,Kamloops,50.68,-120.34,5.377,-14.605
37,3922.224,Kaslo,49.91,-116.91,4.039,-12.7
38,3488.422,Kelowna,49.89,-119.5,4.465,-14.318
39,4593.994,Kimberley,49.69,-115.98,3.678,-12.171
40,3913.733,Kitimat Plant,54.0,-128.7,10.245,-18.293
41,3934.925,Kitimat Townsite,54.05,-128.65,10.279,-18.245
42,2815.338,Ladysmith,48.99,-123.82,4.476,-17.276
43,2839.696,Langford,48.45,-123.5,3.897,-17.256
44,4548.29,Lillooet,50.69,-121.93,5.691,-15.566
45,3797.635,Lytton,50.23,-121.58,5.185,-15.497
46,5637.885,Mackenzie,55.32,-123.09,10.3,-14.734
47,3645.718,Masset,54.03,-132.18,11.117,-20.174
48,4978.692,McBride,53.3,-120.17,7.851,-13.731
49,5513.814,McLeod Lake,54.98,-123.05,9.972,-14.826
50,3842.045,Merritt,50.11,-120.79,4.917,-15.049
51,2819.965,Mission City,49.16,-122.28,4.309,-16.264
52,3542.472,Montrose,49.08,-117.59,3.349,-13.341
53,3956.575,Nakusp,50.24,-117.8,4.504,-13.169
54,2787.034,Nanaimo,49.16,-123.94,4.663,-17.293
55,3556.88,Nelson,49.49,-117.3,3.697,-13.052
56,3608.82,Ocean Falls,52.35,-127.69,8.489,-18.374
57,3301.25,Osoyoos,49.03,-119.47,3.635,-14.543
58,3191.304,Parksville,49.32,-124.31,4.895,-17.467
59,3463.244,Penticton,49.5,-119.59,4.108,-14.484
60,3164.496,Port Alberni,49.23,-124.81,4.922,-17.806
61,3418.047,Port Alice ,50.43,-127.49,6.665,-18.991
62,3263.829,Port Hardy,50.72,-127.5,6.936,-18.887
63,3428.946,Port McNeill,50.59,-127.08,6.716,-18.687
64,3111.359,Port Renfrew ,48.56,-124.4,4.2,-17.782
65,2973.925,Powell River,49.84,-124.52,5.43,-17.418
66,4946.903,Prince George,53.91,-122.74,8.901,-15.007
67,3883.328,Prince Rupert,54.31,-130.33,10.913,-19.054
68,4180.29,Princeton,49.46,-120.51,4.243,-15.07
69,3300.537,Qualicum Beach,49.35,-124.44,4.952,-17.537
70,3545.022,Queen Charlotte City,53.25,-132.09,10.391,-20.468
71,4785.321,Quesnel,52.98,-122.49,7.973,-15.168
72,4348.47,Revelstoke,51.0,-118.2,5.305,-13.212
73,3988.651,Salmon Arm,50.7,-119.28,5.203,-13.953
74,3386.082,Sandspit,53.24,-131.82,10.313,-20.324
75,2653.146,Sechelt,49.47,-123.76,4.916,-17.078
76,2748.998,Sidney,48.65,-123.4,4.064,-17.127
77,6981.97,Smith River,59.88,-126.43,15.197,-14.804
78,5054.637,Smithers,54.78,-127.17,10.621,-17.151
79,2977.849,Sooke,48.38,-123.73,3.881,-17.423
80,2972.394,Squamish,49.7,-123.16,5.005,-16.633
81,4435.129,Stewart,55.94,-129.94,12.307,-18.162
82,3250.476,Tahsis,49.92,-126.66,5.994,-18.685
