,SL50 (kPa),Location,lat,lon,rlat,rlon
0,2.384,100 Mile House,51.64,-121.3,6.473,-14.894
1,1.861,Abbotsford,49.05,-122.33,4.215,-16.33
2,2.613,Agassiz,49.24,-121.76,4.279,-15.915
3,1.755,Alberni,49.27,-124.8,4.957,-17.786
4,1.159,Ashcroft,50.72,-121.28,5.593,-15.164
5,1.445,Bamfield,48.83,-125.13,4.62,-18.142
6,2.725,Beatton River,57.38,-121.41,11.953,-13.162
7,1.956,Bella Bella,52.16,-128.14,8.419,-18.705
8,8.417,Bella Coola,52.37,-126.75,8.292,-17.829
9,2.681,Burns Lake,54.23,-125.75,9.806,-16.578
10,1.113,Cache Creek,50.81,-121.32,5.686,-15.16
11,2.164,Campbell River,50.02,-125.24,5.759,-17.792
12,1.523,Carmi,49.5,-119.12,4.022,-14.191
13,3.132,Castlegar,49.33,-117.67,3.604,-13.326
14,2.298,Chetwynd,55.7,-121.63,10.395,-13.814
15,2.396,Chilliwack,49.17,-121.95,4.251,-16.055
16,1.932,Comox,49.67,-124.93,5.362,-17.726
17,2.024,Courtenay,49.69,-125.0,5.396,-17.762
18,2.282,Cranbrook,49.51,-115.77,3.47,-12.082
19,3.722,Crescent Valley,49.45,-117.56,3.701,-13.226
20,1.71,Crofton,48.86,-123.64,4.314,-17.207
21,3.07,Dawson Creek,55.76,-120.24,10.214,-13.038
22,3.548,Dease Lake ,58.44,-130.0,14.598,-17.132
23,1.301,Dog Creek,51.58,-122.3,6.609,-15.506
24,2.445,Duncan,48.78,-123.71,4.254,-17.278
25,2.067,Elko,49.3,-115.12,3.167,-11.719
26,1.979,Fernie,49.5,-115.06,3.353,-11.635
27,2.641,Fort Nelson,58.8,-122.71,13.518,-13.364
28,3.357,Fort St. John,56.25,-120.85,10.784,-13.219
29,9.879,Glacier,51.27,-117.52,5.452,-12.727
30,0.884,Gold River ,49.78,-126.78,5.892,-18.809
31,5.057,Golden,51.3,-116.96,5.392,-12.379
32,2.111,Grand Forks,49.03,-118.44,3.449,-13.892
33,1.828,Greenwood,49.09,-118.68,3.549,-14.028
34,3.654,Hope,49.38,-121.44,4.348,-15.673
35,2.489,Jordan River ,48.42,-124.05,3.99,-17.611
36,1.621,Kamloops,50.68,-120.34,5.377,-14.605
37,4.733,Kaslo,49.91,-116.91,4.039,-12.7
38,1.465,Kelowna,49.89,-119.5,4.465,-14.318
39,2.842,Kimberley,49.69,-115.98,3.678,-12.171
40,8.141,Kitimat Plant,54.0,-128.7,10.245,-18.293
41,8.295,Kitimat Townsite,54.05,-128.65,10.279,-18.245
42,2.677,Ladysmith,48.99,-123.82,4.476,-17.276
43,1.461,Langford,48.45,-123.5,3.897,-17.256
44,1.553,Lillooet,50.69,-121.93,5.691,-15.566
45,2.241,Lytton,50.23,-121.58,5.185,-15.497
46,4.461,Mackenzie,55.32,-123.09,10.3,-14.734
47,1.51,Masset,54.03,-132.18,11.117,-20.174
48,8.692,McBride,53.3,-120.17,7.851,-13.731
49,5.154,McLeod Lake,54.98,-123.05,9.972,-14.826
50,1.684,Merritt,50.11,-120.79,4.917,-15.049
51,1.943,Mission City,49.16,-122.28,4.309,-16.264
52,2.954,Montrose,49.08,-117.59,3.349,-13.341
53,4.473,Nakusp,50.24,-117.8,4.504,-13.169
54,1.843,Nanaimo,49.16,-123.94,4.663,-17.293
55,3.958,Nelson,49.49,-117.3,3.697,-13.052
56,3.863,Ocean Falls,52.35,-127.69,8.489,-18.374
57,1.483,Osoyoos,49.03,-119.47,3.635,-14.543
58,1.835,Parksville,49.32,-124.31,4.895,-17.467
59,1.077,Penticton,49.5,-119.59,4.108,-14.484
60,1.745,Port Alberni,49.23,-124.81,4.922,-17.806
61,0.637,Port Alice ,50.43,-127.49,6.665,-18.991
62,1.293,Port Hardy,50.72,-127.5,6.936,-18.887
63,1.301,Port McNeill,50.59,-127.08,6.716,-18.687
64,1.986,Port Renfrew ,48.56,-124.4,4.2,-17.782
65,1.949,Powell River,49.84,-124.52,5.43,-17.418
66,2.935,Prince George,53.91,-122.74,8.901,-15.007
67,2.067,Prince Rupert,54.31,-130.33,10.913,-19.054
68,2.707,Princeton,49.46,-120.51,4.243,-15.07
69,1.825,Qualicum Beach,49.35,-124.44,4.952,-17.537
70,1.579,Queen Charlotte City,53.25,-132.09,10.391,-20.468
71,3.529,Quesnel,52.98,-122.49,7.973,-15.168
72,8.139,Revelstoke,51.0,-118.2,5.305,-13.212
73,2.842,Salmon Arm,50.7,-119.28,5.203,-13.953
74,1.671,Sandspit,53.24,-131.82,10.313,-20.324
75,0.963,Sechelt,49.47,-123.76,4.916,-17.078
76,1.378,Sidney,48.65,-123.4,4.064,-17.127
77,3.884,Smith River,59.88,-126.43,15.197,-14.804
78,2.928,Smithers,54.78,-127.17,10.621,-17.151
79,1.897,Sooke,48.38,-123.73,3.881,-17.423
80,3.73,Squamish,49.7,-123.16,5.005,-16.633
81,10.089,Stewart,55.94,-129.94,12.307,-18.162
82,1.723,Tahsis,49.92,-126.66,5.994,-18.685
83,3.424,Taylor,56.16,-120.69,10.671,-13.161
84,6.276,Terrace,54.52,-128.6,10.7,-18.03
85,1.065,Tofino,49.15,-125.9,5.097,-18.503
86,2.865,Trail,49.09,-117.71,3.379,-13.414
87,1.138,Ucluelet,48.94,-125.55,4.82,-18.363
88,2.078,Burnaby (Simon Fraser Univ.),49.24,-122.97,4.529,-16.666
89,1.337,Cloverdale,49.11,-122.73,4.356,-16.559
90,2.272,Haney,49.22,-122.6,4.433,-16.443
91,0.703,Ladner,49.09,-123.08,4.411,-16.783
92,1.508,Langley,49.1,-122.66,4.332,-16.519
93,2.374,New Westminster,49.21,-122.91,4.488,-16.639
94,1.904,North Vancouver,49.32,-123.07,4.626,-16.702
95,1.163,Richmond,49.16,-123.14,4.49,-16.798
96,1.491,Surrey (88 Ave & 156 St.),49.16,-122.79,4.416,-16.581
97,1.635,Vancouver (city hall),49.26,-123.11,4.578,-16.747
98,1.39,Vancouver (Granville & 41 Ave),49.23,-123.14,4.556,-16.775
99,1.784,West Vancouver,49.33,-123.16,4.655,-16.755
100,1.803,Vernon,50.27,-119.27,4.789,-14.068
101,1.361,Victoria,48.43,-123.36,3.847,-17.174
102,1.299,Victoria Gonzales Height,48.42,-123.32,3.829,-17.153
103,1.189,Victoria Mt Tolmie,48.46,-123.32,3.867,-17.139
104,6.595,Whistler ,50.12,-122.95,5.358,-16.368
105,1.118,White Rock ,49.02,-122.8,4.285,-16.632
106,2.646,Williams Lake,52.13,-122.14,7.1,-15.237
107,2.353,Youbou,48.86,-124.21,4.44,-17.562
108,2.004,Athabasca,54.72,-112.28,8.09,-8.844
109,3.043,Banff,51.17,-115.57,5.053,-11.564
110,2.026,Barrhead,54.12,-114.41,7.763,-10.194
111,2.859,Beaverlodge,55.21,-119.43,9.554,-12.754
112,1.11,Brooks,50.56,-111.9,3.964,-9.424
113,1.068,Calgary,51.05,-114.06,4.722,-10.664
114,2.152,Campsie,54.12,-114.65,7.795,-10.333
115,1.819,Camrose,53.02,-112.83,6.489,-9.506
116,2.648,Canmore,51.09,-115.36,4.944,-11.454
117,1.149,Cardston,49.2,-113.3,2.81,-10.58
118,1.037,Claresholm,50.02,-113.58,3.65,-10.586
119,1.652,Cold Lake,54.41,-110.22,7.567,-7.716
120,1.735,Coleman,49.64,-114.49,3.406,-11.243
121,1.627,Coronation,52.09,-111.45,5.414,-8.859
122,1.396,Cowley,49.57,-114.07,3.278,-10.992
123,1.307,Drumheller,51.47,-112.71,4.956,-9.747
124,1.749,Edmonton,53.55,-113.49,7.089,-9.784
125,2.808,Edson,53.59,-116.43,7.528,-11.488
126,2.156,Embarras Portage,58.45,-111.47,11.665,-7.672
127,2.539,Fairview,56.07,-118.38,10.215,-11.933
128,0.95,Fort MacLeod,49.72,-113.41,3.334,-10.542
129,1.924,Fort McMurray,56.73,-111.38,9.966,-7.951
130,1.838,Fort Saskatchewan,53.71,-113.21,7.211,-9.587
131,2.36,Fort Vermilion,58.39,-116.0,12.121,-10.051
132,2.655,Grande Prairie,55.17,-118.79,9.413,-12.41
133,2.544,Habay,58.83,-118.73,12.919,-11.338
134,1.426,Hardisty,52.67,-111.31,5.969,-8.668
135,1.174,High River,50.58,-113.88,4.238,-10.655
136,2.34,Hinton,53.4,-117.58,7.518,-12.204
137,3.491,Jasper,52.88,-118.08,7.096,-12.635
138,2.3,Keg River,57.75,-117.63,11.722,-11.07
139,1.98,Lac la Biche,54.77,-111.97,8.105,-8.657
140,1.92,Lacombe,52.47,-113.74,6.066,-10.163
141,0.91,Lethbridge,49.69,-112.83,3.228,-10.181
142,2.202,Manning,56.92,-117.63,10.922,-11.295
143,1.24,Medicine Hat,50.04,-110.68,3.311,-8.751
