,Q10_Gumbel-MM,Location,lat,lon,rlat,rlon
126,0.255,Embarras Portage,58.45,-111.47,11.665,-7.672
127,0.302,Fairview,56.07,-118.38,10.215,-11.933
128,0.407,Fort MacLeod,49.72,-113.41,3.334,-10.542
129,0.216,Fort McMurray,56.73,-111.38,9.966,-7.951
130,0.222,Fort Saskatchewan,53.71,-113.21,7.211,-9.587
131,0.213,Fort Vermilion,58.39,-116.0,12.121,-10.051
132,0.294,Grande Prairie,55.17,-118.79,9.413,-12.41
133,0.193,Habay,58.83,-118.73,12.919,-11.338
134,0.234,Hardisty,52.67,-111.31,5.969,-8.668
135,0.248,High River,50.58,-113.88,4.238,-10.655
136,0.196,Hinton,53.4,-117.58,7.518,-12.204
137,0.182,Jasper,52.88,-118.08,7.096,-12.635
138,0.13,Keg River,57.75,-117.63,11.722,-11.07
139,0.191,Lac la Biche,54.77,-111.97,8.105,-8.657
140,0.192,Lacombe,52.47,-113.74,6.066,-10.163
141,0.357,Lethbridge,49.69,-112.83,3.228,-10.181
142,0.138,Manning,56.92,-117.63,10.922,-11.295
143,0.288,Medicine Hat,50.04,-110.68,3.311,-8.751
144,0.235,Peace River,56.23,-117.29,10.207,-11.295
145,0.468,Pincher Creek,49.48,-113.94,3.172,-10.929
146,0.255,Ranfurly,53.4,-111.68,6.727,-8.751
147,0.206,Red Deer,52.27,-113.81,5.879,-10.248
148,0.134,Rocky Mountain House,52.37,-114.92,6.127,-10.891
149,0.283,Slave Lake,55.28,-114.77,8.94,-10.135
150,0.236,Stettler,52.33,-112.71,5.799,-9.574
151,0.249,Stony Plain,53.53,-114.01,7.136,-10.093
152,0.295,Suffield,50.22,-111.16,3.542,-9.023
153,0.34,Taber,49.78,-112.15,3.229,-9.731
154,0.239,Turner Valley,50.68,-114.29,4.392,-10.887
155,0.243,Valleyview,55.07,-117.28,9.085,-11.594
156,0.244,Vegreville,53.49,-112.05,6.858,-8.952
157,0.258,Vermilion,53.35,-110.85,6.587,-8.27
158,0.241,Wagner,55.35,-114.98,9.036,-10.237
159,0.245,Wainwright,52.83,-110.86,6.077,-8.369
160,0.214,Wetaskiwin,52.97,-113.37,6.507,-9.836
161,0.182,Whitecourt,54.14,-115.69,7.956,-10.926
162,0.266,Wimborne,51.87,-113.59,5.46,-10.201
163,0.292,Assiniboia,49.63,-105.99,2.466,-5.815
164,0.283,Battrum,50.55,-108.33,3.574,-7.185
165,0.278,Biggar,52.06,-107.99,5.038,-6.757
166,0.278,Broadview,50.38,-102.58,3.008,-3.56
167,0.276,Dafoe,51.75,-104.53,4.476,-4.668
