,TJan2.5 (degC),Location,lat,lon,rlat,rlon
0,-24.118,100 Mile House,51.64,-121.3,6.473,-14.894
1,-6.601,Abbotsford,49.05,-122.33,4.215,-16.33
2,-7.924,Agassiz,49.24,-121.76,4.279,-15.915
3,-6.838,Alberni,49.27,-124.8,4.957,-17.786
4,-20.717,Ashcroft,50.72,-121.28,5.593,-15.164
5,2.701,Bamfield,48.83,-125.13,4.62,-18.142
6,-34.944,Beatton River,57.38,-121.41,11.953,-13.162
7,-4.377,Bella Bella,52.16,-128.14,8.419,-18.705
8,-21.689,Bella Coola,52.37,-126.75,8.292,-17.829
9,-29.915,Burns Lake,54.23,-125.75,9.806,-16.578
10,-21.574,Cache Creek,50.81,-121.32,5.686,-15.16
11,-3.813,Campbell River,50.02,-125.24,5.759,-17.792
12,-12.441,Carmi,49.5,-119.12,4.022,-14.191
13,-11.84,Castlegar,49.33,-117.67,3.604,-13.326
14,-32.834,Chetwynd,55.7,-121.63,10.395,-13.814
15,-6.986,Chilliwack,49.17,-121.95,4.251,-16.055
16,-2.478,Comox,49.67,-124.93,5.362,-17.726
17,-4.028,Courtenay,49.69,-125.0,5.396,-17.762
18,-22.04,Cranbrook,49.51,-115.77,3.47,-12.082
19,-12.893,Crescent Valley,49.45,-117.56,3.701,-13.226
20,0.771,Crofton,48.86,-123.64,4.314,-17.207
21,-33.209,Dawson Creek,55.76,-120.24,10.214,-13.038
22,-38.414,Dease Lake ,58.44,-130.0,14.598,-17.132
23,-23.796,Dog Creek,51.58,-122.3,6.609,-15.506
24,-3.441,Duncan,48.78,-123.71,4.254,-17.278
25,-25.392,Elko,49.3,-115.12,3.167,-11.719
26,-26.328,Fernie,49.5,-115.06,3.353,-11.635
27,-37.255,Fort Nelson,58.8,-122.71,13.518,-13.364
28,-33.989,Fort St. John,56.25,-120.85,10.784,-13.219
29,-26.1,Glacier,51.27,-117.52,5.452,-12.727
30,0.502,Gold River ,49.78,-126.78,5.892,-18.809
31,-27.647,Golden,51.3,-116.96,5.392,-12.379
32,-10.77,Grand Forks,49.03,-118.44,3.449,-13.892
33,-10.915,Greenwood,49.09,-118.68,3.549,-14.028
34,-11.632,Hope,49.38,-121.44,4.348,-15.673
35,-0.014,Jordan River ,48.42,-124.05,3.99,-17.611
36,-19.486,Kamloops,50.68,-120.34,5.377,-14.605
37,-17.989,Kaslo,49.91,-116.91,4.039,-12.7
